statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.9291999936103821,0.33216371653335436,0.42732221597716924,0.7071964618794265,0.4799489846364373,0.9259895673005978
std,0.04568671337129118,0.14254870415240392,0.15958760527883425,0.2805078417408006,0.18540892212046634,0.07496218646403405
min,0.7860999703407288,0.009373570792376995,0.18981482088565826,0.009764229878783226,0.01857304573059082,0.7325986507450868
50%,0.9433333277702332,0.3427271246910095,0.4510648846626282,0.8046045899391174,0.5104941129684448,0.9567423455249132
max,0.9691110849380493,0.5469515323638916,0.8571428656578064,0.9706785082817078,0.7071346640586853,0.991558338836611
