statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.9070014953613281,0.6287364423274994,0.8611188232898712,0.7079387113451958,0.7658560827374459,0.9483422903928698
std,0.034200619574758055,0.1119477085216028,0.086951778008241,0.13734262420285043,0.09537769807438136,0.04638767255022013
min,0.837158203125,0.3099971115589142,0.6812626123428345,0.33051759004592896,0.47327908873558044,0.8075163478796333
50%,0.9166259765625,0.6378706395626068,0.8832218647003174,0.7209379374980927,0.7788998782634735,0.96037170098046
max,0.948486328125,0.773989737033844,0.9763633608818054,0.9226973652839661,0.8725977540016174,0.9930223032919041
