statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.8634116347630819,0.07471034889419874,0.15318606277306876,0.14169461513559023,0.13842487429579098,0.5865179228445536
std,0.029563948008339853,0.019622821167615795,0.0361668530395508,0.058768654886975726,0.03379451520592993,0.03798080290402185
min,0.7671999931335449,0.03072916716337204,0.07309900224208832,0.038504209369421005,0.05962607264518738,0.5050313672349346
50%,0.8702062368392944,0.07450606673955917,0.14849187433719635,0.12875710427761078,0.13867966830730438,0.588323574512541
max,0.9166486263275146,0.13263759016990662,0.2511415481567383,0.3373625576496124,0.23421011865139008,0.6799498878610567
