statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.9230981103579203,0.3194886049628258,0.7135217742125193,0.4513712219397227,0.4697806950410207,0.8464733009326594
std,0.0469908603639871,0.12972695727991512,0.20644056123980958,0.24984696424153507,0.15027372490715848,0.07908825606090984
min,0.605620265007019,0.04854368790984154,0.10469269752502441,0.04916318133473396,0.09259258955717087,0.6461699447769218
50%,0.930343747138977,0.30125951766967773,0.7679643630981445,0.3581302762031555,0.46302756667137146,0.8352669442909012
max,0.9749069213867188,0.5778263211250305,0.9624094367027283,0.9765625,0.7324333786964417,0.9680463325819808
