statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.9177568523089091,0.0,0.0,0.0,0.0,0.6130488358173546
std,0.01818599742393272,0.0,0.0,0.0,0.0,0.020534791244282768
min,0.8690999746322632,0.0,0.0,0.0,0.0,0.5678192908529245
50%,0.9175575375556946,0.0,0.0,0.0,0.0,0.6120288730077474
max,0.9529085755348206,0.0,0.0,0.0,0.0,0.6554286045862103
