statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.8806733876466751,0.10142026082612574,0.7206516712903976,0.11025510774925351,0.17540715597569942,0.7160064268002533
std,0.01201275301272029,0.08058778194877125,0.20516050582571863,0.09434578391329895,0.12638657948205806,0.04083345276524675
min,0.8550116419792175,0.0,0.0,0.0,0.0,0.6224241690356
50%,0.8809700906276703,0.09255777299404144,0.737880527973175,0.09379157423973083,0.16912197321653366,0.7155818223284218
max,0.8995461463928223,0.3029387593269348,0.9578313231468201,0.36273613572120667,0.4650084376335144,0.8012859679258288
