run_name,num_samples,wandb_group,model_class,Accuracy,IoU,Precision,Recall,Dice,AUC,model_type
resnet18_unet_weights_id:A_run:2_rep:1_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.8599723815917969,0.5970586735755206,0.8243405893445015,0.7240638941526413,0.7226251885294914,0.9061719865565956,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:2_rep:2_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.8489013671875,0.5495062988251448,0.8582318469882011,0.6355757340788841,0.6850088395178318,0.90161026816506,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:2_rep:3_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.8708602905273437,0.601172962039709,0.8354754984378815,0.7086705647408962,0.7220491498708725,0.8970613815569187,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:3_rep:1_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.8724098205566406,0.6757778257131577,0.7868636697530746,0.847626981139183,0.7975026205182075,0.9447988781904852,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:3_rep:2_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.8829879760742188,0.6904689103364945,0.8053837791085243,0.8358511835336685,0.8084404528141022,0.9358121977037882,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:3_rep:3_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.8243553161621093,0.6334379374980926,0.7238669916987419,0.8622144550085068,0.7630932420492172,0.9017424078670916,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:4_rep:1_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.8823257446289062,0.6044699229300022,0.9085809633135796,0.6641906343400479,0.7378213495016098,0.9474839286754232,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:4_rep:2_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.9032737731933592,0.6846247598528862,0.8683228075504303,0.7761629074811935,0.8039999067783355,0.9465474930311458,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:4_rep:3_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.8532867431640625,0.543339179083705,0.8814866796135903,0.623203894123435,0.6756444163620472,0.9285756017224684,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:5_rep:1_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.7718849182128906,0.5336054271087051,0.6640881642699241,0.8371750775724649,0.6687222391366958,0.916911122951826,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:5_rep:2_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.7817771911621094,0.5073149103904143,0.7184881955385208,0.7495134137803688,0.6357154535828158,0.9011533711310404,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:5_rep:3_ns:2,2,resnet18_unet | lr:0.01 | weights_id:A | n_samples:2,resnet18_unet,0.7899360656738281,0.5240203755907714,0.6945116311311722,0.785902502387762,0.6542794816195965,0.900939529154494,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:1_rep:1_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.84422607421875,0.6446853816509247,0.741950573027134,0.8638027608394623,0.7745970144867897,0.9514260439429332,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:1_rep:2_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.8759193420410156,0.678878104686737,0.7934929594397545,0.845558226108551,0.8002751708030701,0.9570371333008572,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:1_rep:3_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.807879638671875,0.5991750687360764,0.6560826912522316,0.90678089261055,0.7375271454453468,0.94009896724176,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:2_rep:1_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.9074356079101562,0.6994636669754982,0.8780198439955711,0.7763933300971985,0.8152342706918716,0.9511014794880528,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:2_rep:2_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.8883865356445313,0.684521672129631,0.8213609665632248,0.8179106652736664,0.8049394428730011,0.9401387074179112,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:2_rep:3_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.9205291748046877,0.7368000283837318,0.8607341349124908,0.8329405367374421,0.844062328338623,0.964267060569697,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:3_rep:1_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.8706230163574219,0.6060382723808289,0.7929623335599899,0.7504530444741249,0.7412540167570114,0.9232627494753743,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:3_rep:2_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.8423622131347657,0.6153930261731148,0.6961335092782974,0.8596704512834549,0.7477313667535782,0.935930902648126,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:3_rep:3_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.8538841247558594,0.6247620459645986,0.7136795341968536,0.8686635553836822,0.7477619633078575,0.9422312571640272,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:4_rep:1_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.6439353942871093,0.5039579503238201,0.5619944594800472,0.927690851688385,0.6469804421067238,0.91661914684695,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:4_rep:2_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.6197364807128907,0.486204769462347,0.5334036447107792,0.9387380957603456,0.6307475820183754,0.910513092007009,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:4_rep:3_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.6371528625488281,0.501755565404892,0.5496068455278873,0.9396459579467772,0.64383544921875,0.9173603974897784,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:5_rep:1_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.8281166076660156,0.6347046419978142,0.6783893570303917,0.919920465350151,0.7671103045344353,0.9499168659496882,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:5_rep:2_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.7915542602539063,0.5922057032585144,0.6233254343271255,0.936164790391922,0.7316141054034233,0.94676218682202,ResNet18 - Fine-tuned (lr=1e-2)
resnet18_unet_weights_id:A_run:5_rep:3_ns:4,4,resnet18_unet | lr:0.01 | weights_id:A | n_samples:4,resnet18_unet,0.7784294128417969,0.5923252373933792,0.6245728716254234,0.9401056796312331,0.7277021437883378,0.9359402875852596,ResNet18 - Fine-tuned (lr=1e-2)
