statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.8859344482421875,0.6162072286009789,0.8462086200714112,0.6960843861103058,0.7569430664181709,0.9318220765835707
std,0.03508503306586368,0.10680571994194356,0.10004425290389267,0.10266255372015519,0.08966265534581348,0.041095513514367
min,0.7911224365234375,0.3099971115589142,0.5482837557792664,0.33051759004592896,0.47327908873558044,0.8075163478796333
50%,0.8883895874023438,0.6376485228538513,0.8425742089748383,0.6947542428970337,0.7787337601184845,0.934134493925855
max,0.9566650390625,0.8094726800918579,0.9763633608818054,0.853384256362915,0.894705593585968,0.9915212735778999
