statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.8169021606445312,0.4724588057026267,0.7457222208380699,0.6053502479568124,0.613719311915338,0.8538070781905163
std,0.10674282664183181,0.19992014820928036,0.19345807265443046,0.2226995259277722,0.22011293498393789,0.09033875464895302
min,0.4267425537109375,0.013169538229703903,0.23444902896881104,0.01317022368311882,0.02599671110510826,0.6081994739182108
50%,0.8440170288085938,0.5283075571060181,0.7912341058254242,0.6503461301326752,0.6910886764526367,0.8680954017207428
max,0.93212890625,0.7388029098510742,0.9960629940032959,0.8493528366088867,0.8497834205627441,0.972612478033522
