statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.9130190525736127,0.3748958933921087,0.4008861077683313,0.9173236773127601,0.5358159045378367,0.9707416010552915
std,0.055050538293662216,0.11102664903550215,0.14479615412073074,0.08959951437740948,0.12416682690192521,0.021931768978266868
min,0.7741222381591797,0.16956698894500732,0.16990013420581818,0.5977081060409546,0.28996542096138,0.9216086981201419
50%,0.9373777508735657,0.40085670351982117,0.4106157124042511,0.9462389945983887,0.5723022222518921,0.9788095077019258
max,0.9694111347198486,0.5181165933609009,0.7686142921447754,0.9993122220039368,0.6825780868530273,0.9914730041649036
