run_name,num_samples,wandb_group,model_class,weights,Accuracy,IoU,Precision,Recall,Dice,AUC,model_type
zero_shot_resnet18_vessshape,0,vessshape,resnet18_unet,vessshape,0.907001495361328,0.6287364423274994,0.8611188232898712,0.7079387113451958,0.7658560827374459,0.9483422903928698,Zero-Shot VSUNet18
zero_shot_resnet50_vessshape,0,vessshape,resnet50_unet,vessshape,0.8494789123535156,0.4974068753421307,0.7347806692123413,0.6179938457906247,0.6383053734898567,0.8829070920982351,Zero-Shot VSUNet50
zero_shot_resnet18_imagenet,0,imagenet,resnet18_unet,imagenet,0.7274688720703125,0.05505260117352,0.2309825405478477,0.0783309245482087,0.1027231428772211,0.4631966698738529,Zero-Shot IN-UNet18
zero_shot_resnet50_imagenet,0,imagenet,resnet50_unet,imagenet,0.2378311157226562,0.2288479276001453,0.2296739764511585,0.9868206143379212,0.3661769948899745,0.5626724763688526,Zero-Shot IN-UNet50
zero_shot_litemedsam,0,litemedsam,litemedsam,litemedsam,0.7705581665039063,0.0,0.0,0.0,0.0,0.5954877300375467,Zero-Shot LiteMedSAM
