statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.09085856765508651,0.08213243737816811,0.08220784917473793,0.9889295180638631,0.15128089249134063,0.44794864595327405
std,0.017988082203145846,0.018260946481741768,0.018284588273180163,0.0038077565863622203,0.03102655693382407,0.023859022121838658
min,0.05644044280052185,0.04714033007621765,0.04715991020202637,0.9783436059951782,0.0900363177061081,0.3841685839193873
50%,0.08988703042268753,0.08140842616558075,0.08155539631843567,0.9889363646507263,0.15056000649929047,0.44735552151165037
max,0.13891249895095825,0.13102108240127563,0.13116255402565002,0.9964717626571655,0.23168636858463287,0.5041836473085607
