image,Accuracy,IoU,Precision,Recall,Dice,AUC
10571,0.2919464111328125,0.2825202941894531,0.28310686349868774,0.9927197694778442,0.4405704736709595,0.4897566324637127
11098,0.2093048095703125,0.20176532864570618,0.20249837636947632,0.9823745489120483,0.3357815742492676,0.5953838698562143
12005,0.2092437744140625,0.1993851214647293,0.1997430920600891,0.9910920262336731,0.33247891068458557,0.5491762705932973
12455,0.1643218994140625,0.15351086854934692,0.1538056582212448,0.987669050693512,0.26616284251213074,0.6678090481694723
12943,0.1918487548828125,0.17865173518657684,0.17905159294605255,0.9876543283462524,0.3031459152698517,0.6145865870258231
13528,0.1807098388671875,0.1701621264219284,0.17043079435825348,0.9908207058906555,0.2908351421356201,0.5391759583274203
14225,0.2565765380859375,0.2494068741798401,0.2503208518028259,0.9855716824531555,0.3992404341697693,0.5412371368275677
15577,0.2159881591796875,0.20523132383823395,0.20569266378879547,0.9891895651817322,0.34056752920150757,0.5534225114470421
1643,0.30145263671875,0.2913531959056854,0.29251235723495483,0.9865813851356506,0.4512370526790619,0.5985217269853267
16766,0.2372283935546875,0.2291833758354187,0.23060214519500732,0.9738566279411316,0.3729034662246704,0.5754279808345978
1816,0.3925628662109375,0.3886167109012604,0.39104902744293213,0.9842467904090881,0.5597177743911743,0.5778228298005779
2958,0.2354278564453125,0.22663640975952148,0.22730650007724762,0.9871596693992615,0.3695250153541565,0.5675455194928093
3882,0.1367340087890625,0.1255120187997818,0.1256343573331833,0.9923011064529419,0.2230309695005417,0.5629956708882298
4413,0.2603912353515625,0.2531202733516693,0.2543036639690399,0.9819475412368774,0.403984010219574,0.5195318405836827
525,0.21453857421875,0.2055191993713379,0.2059706151485443,0.9894486665725708,0.34096378087997437,0.5596757339783961
8256,0.147674560546875,0.1367015391588211,0.13699796795845032,0.9844184517860413,0.24052318930625916,0.5077546304940792
8284,0.18695068359375,0.17715732753276825,0.17737646400928497,0.9930747747421265,0.3009917736053467,0.5509662888278071
8353,0.2126312255859375,0.20404449105262756,0.20468226075172424,0.984959065914154,0.3389317989349365,0.5983507851098764
9284,0.4698638916015625,0.4661329388618469,0.46924063563346863,0.9859910011291504,0.6358672380447388,0.5781765472274215
9523,0.2412261962890625,0.23234739899635315,0.23315364122390747,0.9853355288505554,0.3770810067653656,0.5061319584436996
