statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.23783111572265625,0.22884792760014533,0.22967397645115853,0.9868206143379211,0.36617699488997457,0.5626724763688526
std,0.07968340334865748,0.08157856579063115,0.0822901550192628,0.004496752663864948,0.09998225903018644,0.041580171292490316
min,0.1367340087890625,0.1255120187997818,0.1256343573331833,0.9738566279411316,0.2230309695005417,0.4897566324637127
50%,0.21526336669921875,0.20537526160478592,0.2058316394686699,0.986870527267456,0.34076565504074097,0.561335702433313
max,0.4698638916015625,0.4661329388618469,0.46924063563346863,0.9930747747421265,0.6358672380447388,0.6678090481694723
