statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.888781052827835,0.38899632804095746,0.5943209290504455,0.5768743764609099,0.5527267307043076,0.854559053725812
std,0.015175192138553976,0.09482246958994305,0.10756952671982666,0.17000593097384437,0.11439687537485628,0.02072452668509101
min,0.847144603729248,0.09665270894765854,0.41912609338760376,0.098111592233181,0.1762685775756836,0.8208254277890887
50%,0.8879220485687256,0.389831006526947,0.5871060192584991,0.5991454422473907,0.5609757304191589,0.8527947233665931
max,0.9143191576004028,0.5197921991348267,0.8666666746139526,0.7679020762443542,0.6840305924415588,0.9005560872407017
