image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
116,0.9327666759490968,0.3334434926509857,0.3687865436077118,0.7767513394355774,0.500123918056488,0.9526508599896696,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
118,0.951977789402008,0.0109839821234345,0.8571428656578064,0.0110041266307234,0.0217292886227369,0.9384115180178096,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
17,0.9433333277702332,0.4180739521980285,0.4510648846626282,0.8511033654212952,0.5896363258361816,0.9467490781631828,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
20,0.8467888832092285,0.3093067407608032,0.3126107454299927,0.9669589996337892,0.472474068403244,0.9709288084221536,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
21,0.9565222263336182,0.3960487842559814,0.5257119536399841,0.6162343621253967,0.5673853158950806,0.7865798951256108,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
31,0.9612444639205932,0.4540616571903229,0.4982823729515075,0.8365051746368408,0.6245425343513489,0.9754371525176916,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
33,0.9601666927337646,0.4443583488464355,0.4724007248878479,0.8821538686752319,0.6153020858764648,0.9776762136998448,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
34,0.9691110849380492,0.4389505684375763,0.5128507614135742,0.752855658531189,0.6100981831550598,0.9691252069791128,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
39,0.9304999709129332,0.2318555861711502,0.2858440577983856,0.5510799884796143,0.3764330446720123,0.9168381571156148,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
54,0.962166666984558,0.4553742706775665,0.4617255926132202,0.9706785082817078,0.6257830262184143,0.991558338836611,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
59,0.9630110859870912,0.5469515323638916,0.6307281851768494,0.8046045899391174,0.7071346640586853,0.9587421843347966,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
64,0.9352444410324096,0.4043944776058197,0.451300173997879,0.7955368161201477,0.5758987069129944,0.9578123368039811,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
65,0.9085222482681274,0.3427271246910095,0.355233758687973,0.9068440794944764,0.5104941129684448,0.961331952847656,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
74,0.7860999703407288,0.2218988686800003,0.2241090685129165,0.957446813583374,0.3632033467292785,0.9562266080013652,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
8,0.9518555402755736,0.0093735707923769,0.1898148208856582,0.0097642298787832,0.0185730457305908,0.7325986507450868,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
85,0.8806666731834412,0.1587028056383133,0.2336793541908264,0.3309375941753387,0.2739318609237671,0.752975798790669,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
9,0.95452219247818,0.3813482522964477,0.5537752509117126,0.5505127906799316,0.552139163017273,0.8848098628900216,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
90,0.891777753829956,0.2690980136394501,0.287224680185318,0.8100293874740601,0.424077570438385,0.9174232240999723,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
1,0.7677111029624939,0.0339633114635944,0.0395267531275749,0.1943930238485336,0.0656953901052475,0.4024026003739289,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
101,0.7557111382484436,0.0714979544281959,0.0795283764600753,0.4145445525646209,0.1334542036056518,0.5941739557677433,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
104,0.8855555653572083,0.0513033084571361,0.0667785629630088,0.1812561005353927,0.0975994393229484,0.4550070217436281,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
116,0.7758333086967468,0.0205359738320112,0.0247021727263927,0.108545035123825,0.0402454696595668,0.3827621551932161,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
118,0.8387666940689087,0.0380510427057743,0.0508099496364593,0.1315910071134567,0.0733124688267707,0.4598980739962341,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
17,0.7096444368362427,0.0337228216230869,0.0385607369244098,0.2118466943502426,0.0652453824877739,0.4768147020071385,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
20,0.7652111053466797,0.0388009473681449,0.0518509522080421,0.133573442697525,0.0747033357620239,0.4056578152580418,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
21,0.8913111090660095,0.0241420585662126,0.0396591275930404,0.0581171959638595,0.0471459180116653,0.393882881912871,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
31,0.887666642665863,0.0084346802905201,0.0126210739836096,0.0247981548309326,0.0167282633483409,0.3189358104136366,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
33,0.901455581188202,0.0089395465329289,0.0138432253152132,0.0246153846383094,0.0177206769585609,0.3186177415207271,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
34,0.9244666695594788,0.0046852123923599,0.0080543672665953,0.0110764969140291,0.0093267271295189,0.3427559246640433,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
39,0.7373666763305664,0.0220116674900054,0.0250058751553297,0.155283123254776,0.0430751778185367,0.4783295775325229,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
54,0.7320111393928528,0.0115569038316607,0.0129655171185731,0.0961472913622856,0.0228497348725795,0.3479963569054013,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
59,0.7260000109672546,0.018546525388956,0.0226246546953916,0.0932932943105697,0.0364176295697689,0.3834504253091395,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
64,0.6651555299758911,0.0084558948874473,0.0100093474611639,0.0516686774790287,0.0167699828743934,0.3080412932372889,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
65,0.7673888802528381,0.0571094006299972,0.0676735863089561,0.2678495943546295,0.1080482304096221,0.5192061315987502,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
74,0.7918221950531006,0.0545014142990112,0.0712307095527648,0.1883501857519149,0.1033690646290779,0.4810717363027443,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
8,0.8622999787330627,0.0141595732420682,0.0208187140524387,0.0423910468816757,0.027923759073019,0.4250657905804672,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
85,0.8599110841751099,0.0311227235943079,0.0555098690092563,0.0661548525094986,0.0603666715323925,0.2780360237814946,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
9,0.6561777591705322,0.029664471745491,0.0334831699728965,0.2064150124788284,0.0576196871697902,0.333762408363364,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
90,0.8060111403465271,0.0208076275885105,0.0269348043948411,0.0838039293885231,0.0407669916749,0.4068945861709645,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
1,0.0564444437623024,0.0426263511180877,0.0426263511180877,1.0,0.0817672610282898,0.6335032172168031,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
101,0.0616111122071743,0.0461265668272972,0.0461265668272972,1.0,0.0881854370236396,0.4620199422970088,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
