dataset,num_samples,best_model_type,mean_Dice,std_Dice,n_runs
vessmap,1,VSUNet18,0.5974600773335744,0.12441554583833749,15
vessmap,20,LiteMedSAM-FT,0.8953433562318484,0.006437181617202661,15
drive,1,VSUNet18,0.7613874540726344,0.007053420067869569,15
drive,16,VSUNet50,0.7990932683149974,0.0008112772724310978,15
dca1,1,VSUNet18,0.547334669945052,0.07910660626744058,15
dca1,20,LiteMedSAM-FT,0.7693610215943957,0.006627357106694899,15
octa2d,1,VSUNet50,0.8052838623258803,0.020923859756419076,15
octa2d,20,VSUNet18,0.8712474878099229,0.002917831840485925,15
