run_name,num_samples,run,rep,wandb_group,model_class,Accuracy,IoU,Precision,Recall,Dice,AUC,model_type,stage,experiment,is_mock,weights
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:4,4,1,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:4,resnet18_unet,0.9379531413316726,0.5831624045968056,0.8052289396524429,0.6890205681324005,0.7354893863201142,0.9477545424497984,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:6,6,1,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:6,resnet18_unet,0.9319983035326004,0.5793713837862015,0.7321322858333588,0.7397353380918503,0.7331398069858551,0.9396214358226986,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:8,8,1,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:8,resnet18_unet,0.9372582733631134,0.6041994094848633,0.7547958254814148,0.7563226848840714,0.7528842091560364,0.9483052368847738,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:1,1,1,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.9127684235572816,0.3635608166456222,0.8403166681528091,0.3939403921365738,0.528171443939209,0.8986551923976863,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:10,10,1,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9422421634197236,0.6149101912975311,0.803203159570694,0.7286643534898758,0.7611506313085556,0.9523571130462704,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:12,12,1,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,0.9398238360881804,0.6176578342914582,0.763714873790741,0.7678023040294647,0.7633118897676467,0.9533066811721516,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:14,14,1,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:14,resnet18_unet,0.940568161010742,0.6244310349225998,0.7622741788625718,0.7799459367990493,0.7684594929218292,0.9563880588818496,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:16,16,1,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:16,resnet18_unet,0.9407704174518584,0.6224609076976776,0.7694892227649689,0.7697335541248321,0.7668947160243988,0.9550376471397856,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:2,2,1,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:2,resnet18_unet,0.9396378308534622,0.5951667785644531,0.8031448870897293,0.7020758032798767,0.7457340717315674,0.9468720640897104,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:4,4,1,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:4,resnet18_unet,0.9369257599115371,0.578548638522625,0.7984614133834839,0.6873279109597206,0.7318014204502106,0.9433996928590268,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:6,6,1,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:6,resnet18_unet,0.9309414386749268,0.585031396150589,0.7160319745540619,0.7677198767662048,0.7378317505121231,0.9440575209071712,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:8,8,1,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:8,resnet18_unet,0.935391116142273,0.5903618544340133,0.7555890440940857,0.7353332757949829,0.7420082658529281,0.942666961190975,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:1_ns:1,1,2,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.9238276898860932,0.5595413446426392,0.7004837214946746,0.7514705717563629,0.7161012619733811,0.9401286725419128,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:1_ns:10,10,2,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9450039893388748,0.6333603739738465,0.8062096118927002,0.7506182968616486,0.7751990556716919,0.9565277257352538,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:1_ns:12,12,2,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,0.9443117141723631,0.6298019856214523,0.8045462161302567,0.748195368051529,0.7724573343992234,0.9570874491361272,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:1_ns:14,14,2,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:14,resnet18_unet,0.9433306485414504,0.6326889038085938,0.7833881765604019,0.771007239818573,0.7747095972299576,0.9571215385696952,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:1_ns:16,16,2,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:16,resnet18_unet,0.942881491780281,0.6338111609220505,0.775323548913002,0.780696377158165,0.7755170136690139,0.958039729053334,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:1_ns:2,2,2,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:2,resnet18_unet,0.926512485742569,0.5426118940114975,0.7266224920749664,0.6890695512294769,0.7026857882738113,0.9317010068425856,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:1_ns:4,4,2,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:4,resnet18_unet,0.9337165653705596,0.5757467687129975,0.7602542489767075,0.712367732822895,0.7297484666109085,0.9343721300251836,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:1_ns:6,6,2,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:6,resnet18_unet,0.9372671842575072,0.5958354502916337,0.7708247423171997,0.7289162516593933,0.7462644934654236,0.9431893132103324,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:1_ns:8,8,2,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:8,resnet18_unet,0.93662970662117,0.602033281326294,0.7511633455753326,0.7575048238039017,0.751103761792183,0.9462279297368288,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:2_ns:1,1,2,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.9269135028123856,0.5607403337955474,0.7217904508113862,0.7287389218807221,0.7172752171754837,0.940867852336292,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:2_ns:10,10,2,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9443522602319716,0.629671436548233,0.8045232862234115,0.7483536005020142,0.7724167287349701,0.9567369800008768,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:2_ns:12,12,2,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,0.9403695851564408,0.6130362033843995,0.7794930666685105,0.7460012465715409,0.7596459358930587,0.9512586371201208,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:2_ns:14,14,2,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:14,resnet18_unet,0.9410011380910872,0.6249956160783767,0.7669131964445114,0.7760238319635391,0.7689283579587937,0.9554489420867996,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:2_ns:16,16,2,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:16,resnet18_unet,0.9415231645107268,0.6280209451913834,0.7673614770174026,0.7799434065818787,0.771169337630272,0.9556378165652316,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:2_ns:2,2,2,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:2,resnet18_unet,0.9231535792350768,0.5316643759608268,0.7105080038309097,0.6891461789608002,0.6933703869581223,0.9257482630054362,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:2_ns:4,4,2,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:4,resnet18_unet,0.9376354485750198,0.5829178854823113,0.8012990474700927,0.6891234427690506,0.735697728395462,0.9415079712522064,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
