image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
65,0.9556221961975098,0.1572061628103256,0.993333339691162,0.1573722064495086,0.2716994881629944,0.9221830005458898,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
74,0.9550333619117736,0.3541334271430969,0.8066157698631287,0.3869898915290832,0.5230406522750854,0.969520487016255,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
8,0.953577756881714,0.0254257060587406,0.5532994866371155,0.0259585622698068,0.0495905354619026,0.9385260438553245,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
85,0.9648444652557372,0.5129310488700867,0.8990825414657593,0.5442665815353394,0.6780626773834229,0.983846085740542,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
9,0.9689444303512572,0.4063296616077423,0.9386653304100036,0.4174121618270874,0.5778583288192749,0.9741029664761964,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
90,0.9559999704360962,0.1194129437208175,0.8846787214279175,0.1213011071085929,0.2133492231369018,0.8771214484862856,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
1,0.9813222289085388,0.6065074801445007,0.8406878709793091,0.6852684617042542,0.7550633549690247,0.9826614130205,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
101,0.9720666408538818,0.4535970389842987,0.8014593124389648,0.5110186338424683,0.6241028904914856,0.980840781994704,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
104,0.9785666465759276,0.5270899534225464,0.6812421083450317,0.6996420621871948,0.6903194785118103,0.9843623682938047,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
116,0.9753777980804444,0.5826742053031921,0.6864876747131348,0.7939440608024597,0.7363160252571106,0.9887865128596736,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
118,0.9706555604934692,0.4360452592372894,0.8641557097434998,0.4681338965892792,0.607286274433136,0.9823204879149718,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
17,0.9757888913154602,0.5565730333328247,0.817882776260376,0.635307788848877,0.7151261568069458,0.98742285306877,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
