model_type,num_samples,mean_Accuracy,std_Accuracy,mean_IoU,std_IoU,mean_Precision,std_Precision,mean_Recall,std_Recall,mean_Dice,std_Dice,mean_AUC,std_AUC
IN-UNet18,1,0.9245222272475561,0.018587327524703937,0.5657257668673992,0.04111911745691594,0.726824357509613,0.0891520050321173,0.7490198422471682,0.0927341420174941,0.7199352795879046,0.03503155261176163,0.9435263010366715,0.011625328852708972
IN-UNet18,16,0.9488605652252833,0.0008564694335746187,0.6590285791953404,0.0038058287574977,0.8134776802857717,0.007207854441852818,0.7810109722614288,0.005619371734484368,0.7942204701900482,0.0027665818910749813,0.9669194337559746,0.00144960626052485
IN-UNet50,1,0.9325973548491795,0.007055115558400899,0.582252981364727,0.03180914747433683,0.7514828455448151,0.07163782158493827,0.7431467852989833,0.08987512179770467,0.7346668531497319,0.026520725959092523,0.9500740352809314,0.006966277041283099
IN-UNet50,16,0.9478751343488694,0.00024696956674432713,0.6561217286189397,0.001494457827935825,0.8035465190807979,0.0037873628362948414,0.7855796847740809,0.004919127529088154,0.7921456394592921,0.001091770718309648,0.9653899758796533,0.00040247561404729273
LiteMedSAM-FT,1,0.9274342834949494,0.009425646012206038,0.5095789721608163,0.07569211910375673,0.7876387273271879,0.04641631671412275,0.6042972048620382,0.10626484345515104,0.665347671409448,0.07492278271871151,0.9133320677433926,0.04430775302041011
LiteMedSAM-FT,16,0.9489465272426606,0.0003986791137816218,0.6449167138338089,0.0030357589081592426,0.8495796352624894,0.003572411729027855,0.7326829055945079,0.005300863040610679,0.7837113779783249,0.0022721315911543105,0.9692945906638143,0.0009142943759615526
UNet18,1,0.9100489197174709,0.03357932164717278,0.5002763586739699,0.09469092253198691,0.7108456342915694,0.10651070669776999,0.6719939486682415,0.14774876951691018,0.6575567090511322,0.09516379475705522,0.9195923300240035,0.03207703239867192
UNet50,1,0.9230591932932536,0.009146143610822463,0.5245890183250109,0.04850096785800594,0.7333920320868492,0.07446724444101385,0.6748636913796265,0.10549419645260591,0.6842694381872813,0.0456480616680662,0.9163853097427739,0.021711150131962145
VSUNet18,1,0.9406780521074931,0.002511448335585893,0.6153357237577438,0.009167868780509368,0.7818696018060048,0.022504296311448353,0.7494608795642853,0.019133697319576093,0.7613874540726344,0.007053420067869569,0.947635555072891,0.004987446829574882
VSUNet18,16,0.9503305530548096,0.00017727427267416786,0.6630934639771779,0.0010266116419391745,0.8292446978886922,0.0026823324343995896,0.7723022894064585,0.002660678163128897,0.7971563609441122,0.0007582858429946164,0.9665241748713052,0.0004965976425194515
VSUNet50,1,0.9375360049804052,0.006533179060683516,0.6046159918109576,0.018896001377947388,0.7667932501435281,0.048288801694736615,0.7512618992726008,0.04290030895033933,0.7527718498309454,0.014994237491305377,0.9482401706210672,0.00516167839134357
VSUNet50,16,0.9513255647818247,0.00022591172724516846,0.6658072110017141,0.0011176282501859879,0.8409756908814112,0.0019562187875448002,0.7663284327586493,0.001738673204032265,0.7990932683149974,0.0008112772724310978,0.9685814024178954,0.00040311102654127953
Zero-Shot IN-UNet18,0,0.5276236176490784,,0.0941645838320255,,0.1109647382050752,,0.3881345346570015,,0.1718399718403816,,0.4462526818238091,
Zero-Shot IN-UNet50,0,0.1274116929620504,,0.1272867068648338,,0.1272911377251148,,0.9997369766235352,,0.2256287537515163,,0.4979040813787751,
Zero-Shot LiteMedSAM,0,0.8726975172758102,,0.0,,0.0,,0.0,,0.0,,0.510312457559518,
Zero-Shot VSUNet18,0,0.888781052827835,,0.3889963280409574,,0.5943209290504455,,0.5768743764609099,,0.5527267307043076,,0.854559053725812,
Zero-Shot VSUNet50,0,0.8806733876466751,,0.1014202608261257,,0.7206516712903976,,0.1102551077492535,,0.1754071559756994,,0.7160064268002533,
