statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.9065795779228211,0.4896912589669228,0.6287130415439606,0.6985519975423813,0.65612812936306,0.8911486414720698
std,0.017166486156153533,0.04793838102861318,0.08381330807066703,0.0594477671849857,0.04292651617110574,0.019108286132968288
min,0.8742285966873169,0.4176312983036041,0.48053085803985596,0.5500593185424805,0.589195966720581,0.8561960014814958
50%,0.9093106687068939,0.48195019364356995,0.6350614428520203,0.6918708384037018,0.6502871215343475,0.891696337610506
max,0.9346376657485962,0.5848622918128967,0.753932774066925,0.7897796630859375,0.738060712814331,0.9224678394809551
