statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.8726975172758102,0.0,0.0,0.0,0.0,0.510312457559518
std,0.012271186697782353,0.0,0.0,0.0,0.0,0.016585031837567925
min,0.8501779437065125,0.0,0.0,0.0,0.0,0.48912496805642625
50%,0.8723376989364624,0.0,0.0,0.0,0.0,0.5096978755957366
max,0.8961626291275024,0.0,0.0,0.0,0.0,0.5431470713084396
