statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.9524941756611779,0.0,0.0,0.0,0.0,0.7036417031585346
std,0.010935124736981418,0.0,0.0,0.0,0.0,0.06391949583579058
min,0.9290444254875183,0.0,0.0,0.0,0.0,0.5372406298464623
50%,0.953344464302063,0.0,0.0,0.0,0.0,0.688080246968083
max,0.9678999781608582,0.0,0.0,0.0,0.0,0.8203949784745221
