run_name,num_samples,wandb_group,model_class,Accuracy,IoU,Precision,Recall,Dice,AUC,model_type
zero_shot,0,FromScratch,resnet18_unet,0.9065795779228211,0.4896912589669228,0.6287130415439606,0.6985519975423813,0.65612812936306,0.8911486414720698,ResNet18 - From Scratch (lr=1e-2)
zero_shot,0,FromScratch,resnet50_unet,0.8882046341896057,0.23027012534439564,0.7280152022838593,0.27523565776646136,0.36655711606144903,0.7617688787925451,ResNet50 - From Scratch (lr=1e-2)
