statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.7664947509765625,0.006244515696016606,0.20710122361779212,0.006393950086203404,0.0123440089286305,0.5826590851181626
std,0.08159798723576009,0.006036404589884861,0.17673463766284367,0.0061526365305386846,0.011847725328746358,0.041405787691651104
min,0.529754638671875,0.0,0.0,0.0,0.0,0.5118049807206285
50%,0.7899856567382812,0.003622773219831288,0.18415379524230957,0.0037196839693933725,0.007219361374154687,0.5835899572985916
max,0.876129150390625,0.022398844361305237,0.6058632135391235,0.02273005060851574,0.043816253542900085,0.6887540626659404
