statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.5276236176490784,0.09416458383202553,0.11096473820507527,0.3881345346570015,0.17183997184038163,0.44625268182380917
std,0.06303281172911408,0.013929322537565634,0.014580482355912049,0.08095590756731037,0.02327450741711059,0.029625609863122244
min,0.3881980776786804,0.06860210746526718,0.08481469005346298,0.2641029953956604,0.12839597463607788,0.3929100147136323
50%,0.5318748950958252,0.09241434559226036,0.1137111522257328,0.39179156720638275,0.16919027268886566,0.44982785600694514
max,0.6276726722717285,0.12238320708274841,0.1382731795310974,0.5753715634346008,0.2180774062871933,0.49475000214687964
