statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.06231428540888287,0.04812293340052877,0.04812757724097797,0.9979779152643113,0.09162579157522746,0.5459068307688059
std,0.010489800317793856,0.011055632762537272,0.011056954656210632,0.003172938702471597,0.020019426670070447,0.07178569722107032
min,0.04731111228466034,0.03259581699967384,0.03259581699967384,0.9871570467948914,0.06313373893499374,0.391926225891536
50%,0.06244444474577904,0.047408830374479294,0.047408830374479294,0.9985590577125549,0.09052593261003494,0.5506076382176901
max,0.08420000225305557,0.07190793752670288,0.07190793752670288,1.0,0.1341681182384491,0.6735102059323257
