statistic,Accuracy,IoU,Precision,Recall,Dice,AUC
mean,0.8882046341896057,0.23027012534439564,0.7280152022838593,0.27523565776646136,0.36655711606144903,0.7617688787925451
std,0.012299968538707311,0.08721643345812422,0.1605101612276094,0.1298879410401066,0.11603379394152913,0.04236337651327084
min,0.8609994649887085,0.05896340310573578,0.42376962304115295,0.059349291026592255,0.11136060953140259,0.6932320435935553
50%,0.886904239654541,0.23811379075050354,0.7861518561840057,0.26658953726291656,0.38463881611824036,0.7596696360722732
max,0.9136388897895813,0.4159344434738159,0.9006810188293457,0.5193846821784973,0.5875052213668823,0.8331762655329347
